start	end	text
0	4000	I will talk to my friends, I will run my mobile, I will go to the wedding function,
4000	7000	I will have fun with my younger brother and sister and not possible at all.
7000	13000	The limited time you have, actually you have very limited time, very limited time, and there is still time.
13000	19000	Do something like this in life, that once in a lifetime, the whole of India is watching you leaving your work.
19000	22000	And I can tell you with a statement, that Khrushi,
22000	27000	at this time, watching four reels on mobile, playing a game, talking to friends,
27000	31000	fighting with people of no reason, I will go somewhere with all of them.
34000	35000	Think in your mind.
35000	40000	Imagine once, who is sitting in a small room today and watching this video on his mobile.
40000	44000	The one who is better than them in the house, where all the beauty will be,
44000	48000	where he can buy his mother, his father new clothes,
48000	51000	where he can sit in his father's car and earn money,
52000	57000	where he can send his mother a helper when he has to go to buy vegetables.
57000	58000	That's life too.
58000	60000	That life will be very beautiful.
60000	62000	When you can do something for your parents,
62000	65000	you will be feeding a lot of poor people,
65000	67000	you will be helping a lot of people,
67000	69000	you will be teaching a lot of poor children,
69000	71000	you will be opening the orphanage,
71000	72000	that is also a life.
72000	75000	You will be so happy in that life, so happy.
75000	78000	And I can tell you with a statement, that Khrushi,
78000	82000	watching 4 Reels on mobile at this time, playing a game,
82000	86000	talking to friends, fighting with people of no reason,
86000	87000	I will go somewhere with all of them.
87000	89000	I just want to ask you one thing,
89000	91000	what is this preparation for you?
91000	94000	This is your choice, this is your helplessness.
94000	97000	So the one who is helpless, do something else in life.
97000	99000	If your parents are forcing you to get ready,
99000	100000	it is possible that they will leave,
100000	101000	then I will not become a good doctor.
101000	102000	That is when you will be nothing,
102000	103000	the person who is not able to do anything,
103000	104000	the other person who can not do anything,
104000	105000	you will not do anything good,
105000	106000	you will not do anything good.
106000	108000	The one who has a choice, that is my question.
108000	109000	If anything is your choice,
109000	113000	why do you need motivation to do this?
113000	114000	You have chosen yourself,
114000	115000	if you want yourself,
115000	116000	why do you need motivation?
116000	118000	The movie of Avengers comes,
118000	119000	it is our choice to watch.
119000	120000	Or we say to our friends,
120000	121000	please motivate me,
121000	123000	that I should go for the movie of Avengers.
123000	124000	Please, please Pinky,
124000	126000	please tell me something like that,
126000	127000	Pinky, that I should be motivated
127000	128000	and watch the movie of Avengers.
128000	129000	Please Priya,
129000	131000	give me a little motivational lecture,
131000	132000	that I should watch the movie of Avengers.
132000	133000	No, let's go by ourselves.
133000	134000	Let's buy a ticket,
134000	135000	let's buy popcorn,
135000	136000	whenever I feel,
136000	137000	this is the question,
137000	139000	whether this is my helplessness
139000	140000	or this is my choice.
140000	141000	If it is your choice,
141000	142000	then it is clear,
142000	144000	that you have chosen yourself.
144000	145000	After finding it,
145000	146000	many children say,
146000	147000	oh no, it's wrong,
147000	148000	it's like this,
148000	149000	you will feel this every time.
149000	150000	You will go every night,
150000	151000	you will think once,
151000	152000	that I have caught this Ram,
152000	153000	now I will go this night,
153000	154000	you will go a little far,
154000	155000	you will get tired,
155000	156000	you will get bored,
156000	157000	you will get bored,
157000	158000	because you leave something else.
158000	159000	You have seen your parents,
159000	160000	you have come from your father,
160000	161000	you will get power from your mother,
161000	162000	you will get power from your mother.
162000	163000	Get up in the morning,
163000	164000	go to the office every day,
164000	165000	come home in the evening,
165000	166000	talk to you a little,
166000	167000	eat, eat,
167000	168000	take care of all the things
168000	169000	in the house,
169000	170000	manage the house,
170000	171000	sleep,
171000	172000	go to the office in the morning,
172000	173000	with the boss in the office,
173000	174000	this, this, this,
174000	175000	work in the whole office,
175000	176000	struggle for you,
176000	177000	reach the office in the sun,
177000	178000	it is an office life easy,
178000	179000	what do you think,
179000	180000	it is so much work pressure,
180000	181000	come in the evening,
181000	182000	talk to you with love,
182000	183000	oh my child,
183000	184000	do it, do it,
184000	185000	what do you want,
185000	186000	take the child's mobile,
186000	187000	what do you want,
187000	188000	take the child's food,
188000	189000	what do you want,
189000	190000	take the child's shoes,
190000	191000	it's okay,
191000	192000	it's okay,
192000	193000	you will get bored,
193000	194000	be patient,
194000	195000	it's very bad,
195000	196000	it's very hard,
196000	197000	your father's work is also very hard,
197000	198000	he is doing it for you,
